"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2023","878.57","874.97","880.70","874.97","","0.22%"
"10/24/2023","876.66","875.38","883.34","875.25","","0.01%"
"10/23/2023","876.59","871.21","877.73","869.09","","0.69%"
"10/20/2023","870.61","874.12","882.43","870.61","","-1.22%"
"10/19/2023","881.36","876.45","881.97","876.29","","0.40%"
"10/18/2023","877.89","879.87","880.34","876.94","","-0.69%"
"10/17/2023","883.99","879.27","884.86","878.76","","0.54%"
"10/16/2023","879.27","881.38","881.38","878.55","","-0.33%"
"10/13/2023","882.14","888.00","890.50","879.67","","-0.74%"
"10/12/2023","888.72","894.61","896.54","888.00","","-0.66%"
"10/11/2023","894.61","889.68","894.67","889.68","","0.55%"
"10/10/2023","889.68","888.87","894.92","884.71","","-0.15%"
"10/09/2023","891.05","891.66","893.05","888.90","","-0.01%"
"10/06/2023","891.16","890.06","891.16","889.84","","0.12%"
"10/05/2023","890.06","889.88","891.57","889.45","","-0.60%"
"10/04/2023","895.43","887.84","897.93","887.84","","-0.20%"
"10/03/2023","897.24","885.64","898.56","885.64","","1.08%"
"10/02/2023","887.66","885.63","891.36","885.63","","0.09%"
"09/29/2023","886.89","885.74","889.66","884.53","","0.08%"
"09/28/2023","886.17","883.72","889.28","883.56","","0.03%"
"09/27/2023","885.92","877.50","885.92","875.26","","0.53%"
"09/26/2023","881.28","884.86","888.49","880.76","","-0.78%"
"09/25/2023","888.17","887.40","889.34","886.52","","0.01%"
"09/22/2023","888.04","899.64","899.87","886.03","","-1.31%"
"09/21/2023","899.87","898.69","899.87","896.05","","-0.08%"
"09/20/2023","900.56","900.27","903.07","898.85","","0.00%"
"09/19/2023","900.60","902.16","910.45","900.60","","-0.25%"
"09/18/2023","902.88","902.47","905.40","898.79","","-0.29%"
"09/15/2023","905.55","905.11","907.97","904.71","","-0.19%"
"09/14/2023","907.25","902.16","907.41","902.16","","0.22%"
"09/13/2023","905.29","902.08","910.49","902.08","","0.30%"
"09/12/2023","902.55","901.62","904.75","900.81","","0.11%"
"09/11/2023","901.53","887.94","906.34","887.47","","1.53%"
"09/08/2023","887.94","888.64","888.95","885.98","","-0.34%"
"09/07/2023","890.94","883.89","893.34","883.89","","1.02%"
"09/06/2023","881.93","886.64","887.11","880.98","","-0.58%"
"09/05/2023","887.11","885.31","890.48","883.03","","0.22%"
"09/04/2023","885.16","883.64","885.40","882.38","","-0.14%"
"09/01/2023","886.38","885.29","887.80","885.09","","0.17%"
"08/31/2023","884.90","884.58","886.48","884.11","","-0.15%"
"08/30/2023","886.25","890.93","891.08","885.31","","-0.85%"
"08/29/2023","893.82","893.34","894.38","893.19","","0.00%"
"08/28/2023","893.82","890.68","896.17","890.68","","0.20%"
"08/25/2023","892.01","892.57","894.30","887.16","","0.45%"
"08/24/2023","888.01","877.73","888.80","877.73","","1.09%"
"08/23/2023","878.45","863.59","879.40","862.27","","1.78%"
"08/22/2023","863.12","862.64","865.47","861.08","","0.06%"
"08/21/2023","862.64","853.85","864.30","853.85","","0.94%"
"08/18/2023","854.57","844.06","856.42","844.06","","0.08%"
"08/17/2023","853.85","853.45","856.28","852.51","","0.02%"
"08/16/2023","853.69","860.11","884.78","849.51","","-0.91%"
"08/15/2023","861.51","860.64","861.59","860.64","","-0.50%"
"08/14/2023","865.85","866.70","867.88","864.27","","-0.61%"
"08/11/2023","871.20","870.63","871.81","869.85","","-0.11%"
"08/10/2023","872.19","871.81","876.27","871.10","","0.21%"
"08/09/2023","870.39","870.46","870.69","868.89","","-0.59%"
"08/08/2023","875.56","874.11","876.93","869.91","","0.22%"
"08/07/2023","873.68","873.44","877.61","872.50","","-0.03%"
"08/04/2023","873.91","872.65","875.47","872.50","","0.14%"
